artist_name,track_name,release_date,genre,lyrics
XXXTENTACION,Revenge,2017,Alternative Rock,"I think I— I think I finally
Found a way to forgive myself
For the mistakes I made in the past
I think that's the first step, right?
You agree?

I've dug two graves for us, my dear
Can't pretend that I was perfect, leavin' you in fear
Oh, man, what a world, the things I hear
If I could act on my revenge, no, would I?
Some kill, some steal, some break your heart
And you'd have thought that I would let it go and let you walk
Well, broken hearts break bones, so break up fast
And I don't wanna let it go, so in my grave, I'll rot
I've dug two graves for us, my dear
Can't pretend that I was perfect, leavin' you in fear
Oh, man, what a world, the things I hear
If I could act on my revenge, no, would I?
Some kill, some steal, some break your heart
And you'd have thought that I would let it go and let you walk
Well, broken hearts break bones, so break up fast
And I don't wanna let it go, so in my grave, I'll rot

In my grave, I'll rot
In my grave, I'll rot
In my grave, I'll rot-ot-ot
In my grave, I'll rot
In my grave, I'll rot-ot-ot
In my grave, I'll rot

In my grave, I'll rot
Is my pain your freedom? (Oh, no, oh, no)
Is all of my pain your freedom? (Oh, no-no-no-no)
Enjoy"
Harry Styles,As It Was,2022,Alternative Rock,"Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was"
Oasis,Don’t Look Back in Anger,1995,Alternative Rock,"Slip inside the eye of your mind
Don't you know you might find
A better place to play?
You said that you'd never been
But all the things that you've seen
Will slowly fade away

So I start a revolution from my bed
'Cause you said the brains I had went to my head
Step outside, summertime's in bloom
Stand up beside the fireplace
Take that look from off your face
You ain't ever gonna burn my heart out

And so, Sally can wait
She knows it's too late as we're walkin' on by
Her soul slides away
""But don't look back in anger,"" I heard you say

Take me to the place where you go
Where nobody knows
If it's night or day
Please don't put your life in the hands
Of a rock 'n' roll band
Who'll throw it all away

I'm gonna start a revolution from my bed
'Cause you said the brains I had went to my head
Step outside, 'cause summertime's in bloom
Stand up beside the fireplace
Take that look from off your face
'Cause you ain't ever gonna burn my heart out

And so, Sally can wait
She knows it's too late as she's walking on by
My soul slides away
""But don't look back in anger,"" I heard you say


So, Sally can wait
She knows it's too late as we're walking on by
Her soul slides away
""But don't look back in anger,"" I heard you say
So, Sally can wait
She knows it's too late as she's walking on by
My soul slides away
""But don't look back in anger
Don't look back in anger,"" I heard you say

""At least not today"""
Smash Mouth,All Star,1999,Alternative Rock,"Somebody once told me the world is gonna roll me
I ain't the sharpest tool in the shed
She was looking kind of dumb with her finger and her thumb
In the shape of an ""L"" on her forehead

Well, the years start comin' and they don't stop comin'
Fed to the rules and I hit the ground runnin'
Didn't make sense not to live for fun
Your brain gets smart but your head gets dumb
So much to do, so much to see
So what's wrong with taking the backstreets?
You'll never know if you don't go
You'll never shine if you don't glow

Hey now, you're an all star
Get your game on, go play
Hey now, you're a rock star
Get the show on, get paid
(And all that glitters is gold)
Only shootin' stars break the mold

It's a cool place, and they say it gets colder
You're bundled up now, wait 'til you get older
But the meteor men beg to differ
Judging by the hole in the satellite picture
The ice we skate is gettin' pretty thin
The water's gettin' warm so you might as well swim
My world's on fire, how 'bout yours?
That's the way I like it and I'll never get bored

Hey now, you're an all star
Get your game on, go play
Hey now, you're a rock star
Get the show on, get paid
(All that glitters is gold)
Only shootin' stars break the mold

Go for the moon
G-g-g-go for the moon
Go for the moon
Go-go-go for the moon

Hey now, you're an all star
Get your game on, go play
Hey now, you're a rock star
Get the show on, get paid
(And all that glitters is gold)
Only shooting stars

Somebody once asked, ""Could I spare some change for gas?
I need to get myself away from this place""
I said, ""Yep, what a concept
I could use a little fuel myself and we could all use a little change""

Well, the years start comin' and they don't stop comin'
Fed to the rules and I hit the ground runnin'
Didn't make sense not to live for fun
Your brain gets smart but your head gets dumb
So much to do, so much to see
So what's wrong with taking the backstreets?
You'll never know if you don't go (Go)
You'll never shine if you don't glow

Hey now, you're an all star
Get your game on, go play
Hey now, you're a rock star
Get the show on, get paid
(And all that glitters is gold)
Only shootin' stars break the mold

(And all that glitters is gold)
Only shootin' stars break the mold"
Wheatus,Teenage Dirtbag,2000,Alternative Rock,"Her name is Noelle, I have a dream about her
She rings my bell, I got gym class in half an hour
Oh, how she rocks in Keds and tube socks
But she doesn't know who I am, and she doesn't give a damn about me

'Cause I'm just a teenage dirtbag, baby
Yeah, I'm just a teenage dirtbag, baby
Listen to Iron Maiden, baby, with me, ooh

Her boyfriend's a dick and he brings a gun to school
And he'd simply kick my ass if he knew the truth
He lives on my block, and he drives an IROC
But he doesn't know who I am, and he doesn't give a damn about me

'Cause I'm just a teenage dirtbag, baby
Yeah, I'm just a teenage dirtbag, baby
Listen to Iron Maiden, baby, with me, ooh

Oh, yeah, dirtbag
No, she doesn't know what she's missin'
Oh, yeah, dirtbag
No, she doesn't know what she's missin'

Man, I feel like mold, it's prom night and I am lonely
Lo and behold, she's walkin' over to me
This must be fake, my lip starts to shake
How does she know who I am? And why does she give a damn about me?

I've got two tickets to Iron Maiden, baby
Come with me Friday, don't say maybe
I'm just a teenage dirtbag, baby, like you, ooh

Oh, yeah, dirtbag
No, she doesn't know what she's missin'
Oh, yeah, dirtbag
No, she doesn't know what she's missin'"
OneRepublic,Counting Stars,2013,Alternative Rock,"Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars
Yeah, we'll be countin' stars""

I see this life like a swingin' vine
Swing my heart across the line
In my face is flashin' signs
Seek it out and ye shall find

The old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doin' what we're told

I feel somethin' so right doin' the wrong thing
And I feel somethin' so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive

Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars"", yeah

I feel your love, and I feel it burn
Down this river, every turn
""Hope"" is our four-letter word
Make that money, watch it burn

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doin' what we're told

And I feel somethin' so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me wanna fly

Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""

Oh, take that money, watch it burn
Sink in the river the lessons I learned
Take that money, watch it burn
Sink in the river the lessons I learned
Take that money, watch it burn
Sink in the river the lessons I learned
Take that money, watch it burn
Sink in the river the lessons I learned

Everything that kills me makes me feel alive

Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I been, I been losin' sleep
Dreamin' about the things that we could be
But, baby, I been, I been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""

Take that money, watch it burn
Sink in the river the lessons I learned
Take that money, watch it burn
Sink in the river the lessons I learned
Take that money, watch it burn
Sink in the river the lessons I learned
Take that money, watch it burn
Sink in the river the lessons I learned"
One Direction,Night Changes,2014,Alternative Rock,"Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Everything she never had, she's showin' off
Drivin' too fast, moon is breakin' through her hair
She's headin' for somethin' that she won't forget
Havin' no regrets is all that she really wants

(Ooh) 
We're only gettin' older, baby
(Ooh) 
And I've been thinkin' about it lately
(Ooh) 
Does it ever drive you crazy
(Ah-ah-ah) 
Just how fast the night changes?
(Ooh) 
Everything that you've ever dreamed of
(Ooh) 
Disappearin' when you wake up
(Ooh) 
But there's nothin' to be afraid of
(Ah-ah-ah) 
Even when the night changes
(Ooh) 
It will never change me and you

Chasin' her tonight, doubts are runnin' round her head
He's waitin', hides behind a cigarette
Heart is beatin' loud and she doesn't want it to stop
Movin' too fast, moon is lightin' up her skin
She's fallin', 
doesn't even know it yet
Havin' no regrets is all that she really wants

(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change me and you

Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh

Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Reminds her of the missin' piece of innocence she lost

(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) 
Does it ever drive you crazy
(Ah-ah-ah) 
Just how fast the night changes?
(Ooh) 
Everything that you've ever dreamed of
(Ooh) 
Disappearin' when you wake up
(Ooh) 
But there's nothin' to be afraid of
(Ah-ah-ah) 
Even when the night changes
(Ooh) 
It will never change, baby
(Ooh) It will never change, baby
(Ooh) It will never change me and you"
Twenty One Pilots,Heathens,2016,Alternative Rock,"All my friends are heathens, take it slow (In the city, boy, in the city)
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse
All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

Welcome to the room of people who have rooms of people
That they loved one day, locked away
Just because we check the guns at the door
Doesn't mean our brains will change from hand grenades
You'll never know the psychopath sitting next to you
You'll never know the murderer sitting next to you
You'll think, ""How'd I get here, sitting next to you?""
But after all I've said, please don't forget

All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

We don't deal with outsiders very well
They say newcomers have a certain smell
You have trust issues, not to mention
They say they can smell your intentions
You'll never know the freak show sitting next to you
You'll have some weird people sitting next to you
You'll think ""How did I get here, sitting next to you?""
But after all I've said, please don't forget
(Watch it)
(Watch it)

All my friends are heathens, take it slow (In the city, boy, in the city)
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

All my friends are heathens, take it slow (Watch it)
Wait for them to ask you who you know (Watch it)
Please, all my friends are heathens, take it slow (Watch it)
Wait for them to ask you who you know

Why'd you come? You knew you should have stayed (It's blasphemy)
I tried to warn you just to stay away (Wouldn't listen to me)
And now they're outside, ready to bust (And guess what?)
It looks like you might be one of us"
blackbear,hot girl bummer,2019,Alternative Rock,"Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer anthem
Turn it up and throw a tantrum
This that throw up in your Birkin bag
Hook up with someone random
This that social awkward suicide
That buy your lips and buy your likes
I swear she had a man
But shit hit different when it's Thursday night

That college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer two-step
They can't box me in, I'm too left
This that drip, it's more like oceans
They can't fit me in a Trojan
Out of pocket, but I'm always in my bag
Yeah, that's the slogan
This that, ""Who's all there?""
I'm pullin' up wit' a emo chick that's broken

This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
We go stupid, we go stupid, we go—
And you want me to change? Fuck you!

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum"
Shawn Mendes,There’s Nothing Holdin’ Me Back,2017,Alternative Rock,"I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'Cause every time that she gets close, yeah

She pulls me in enough to keep me guessin', mmm
And maybe I should stop and start confessin', confessin', yeah

Oh, I've been shakin'
I love it when you go crazy
You take all my inhibitions
Baby, there's nothin' holdin' me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothin' holdin' me back

There's nothin' holdin' me back
There's nothin' holdin' me back

She says that she's never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation

Pulls me in enough to keep me guessin', woah
And maybe I should stop and start confessin', confessin', yeah

Oh, I've been shakin'
I love it when you go crazy
You take all my inhibitions
Baby, there's nothin' holdin' me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothin' holdin' me back

There's nothin' holdin' me back

'Cause if we lost our minds and we took it way too far
I know we'd be all right, I know we would be all right
If you were by my side and we stumbled in the dark
I know we'd be all right, I know we would be all right
'Cause if we lost our minds and we took it way too far
I know we'd be all right, I know we would be all right
If you were by my side, we stumbled in the dark
I know we'd be all right, we would be all right

Oh, I've been shakin'
I love it when you go crazy
You take all my inhibitions
Baby, there's nothin' holdin' me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothin' holdin' me back

(Oh, woah)
There's nothin' holdin' me back
I feel so free when you're with me, baby
Baby, there's nothin' holdin' me back"
